STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,wstatus,Labour force and employment status,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,DE,Germany,2011,,13.3,,b,break in time series,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,DE,Germany,2012,,12.6,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,DE,Germany,2013,,12.2,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,DE,Germany,2014,,11.9,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,DE,Germany,2015,,11.9,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,DE,Germany,2016,,12.0,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,DE,Germany,2017,,11.7,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,DE,Germany,2018,,11.5,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,DE,Germany,2019,,10.8,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,DE,Germany,2020,,10.0,,b,break in time series,,
