STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,ES,Spain,2012,,22.5,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,ES,Spain,2013,,23.8,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,ES,Spain,2014,,22.3,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,ES,Spain,2015,,20.2,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,ES,Spain,2016,,17.9,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,ES,Spain,2017,,15.7,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,ES,Spain,2018,,13.9,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,ES,Spain,2019,,12.8,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,ES,Spain,2020,,14.0,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,FI,Finland,2009,,6.5,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,FI,Finland,2010,,6.7,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,FI,Finland,2011,,6.3,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,FI,Finland,2012,,6.2,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,FI,Finland,2013,,6.6,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,FI,Finland,2014,,7.1,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,FI,Finland,2015,,7.6,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,FI,Finland,2016,,7.3,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,FI,Finland,2017,,7.2,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,FI,Finland,2018,,6.1,,,,,
