STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,EL,Greece,2019,,15.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,EL,Greece,2020,,16.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2009,,4.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2010,,4.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2011,,4.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2012,,5.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2013,,5.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2014,,6.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2015,,5.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2016,,5.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2017,,4.8,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2018,,5.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2019,,4.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,ES,Spain,2020,,6.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2009,,2.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2010,,3.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2011,,3.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2012,,3.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2013,,2.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2014,,3.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2015,,2.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2016,,2.3,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2017,,2.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2018,,2.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2019,,2.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FI,Finland,2020,,2.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FR,France,2009,,5.3,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FR,France,2010,,5.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FR,France,2011,,4.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FR,France,2012,,4.8,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FR,France,2013,,4.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FR,France,2014,,4.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FR,France,2015,,4.3,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FR,France,2016,,4.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FR,France,2017,,3.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,FR,France,2018,,4.5,,,,,
